"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"226",226,1992-02-29 07:00:00,23.84,30.78,26.71,61.8,87.1,4.45,NA,"N ",NA,NA
"227",227,1992-03-10 07:00:00,23.96,31.37,27.17,113,86.2,5.26,NA,"N ",NA,NA
"228",228,1992-03-20 07:00:00,24.22,30.69,26.56,128.3,90.6,3.94,NA,"N ",NA,NA
"229",229,1992-03-30 07:00:00,24.14,31.4,27.07,49.5,87.4,4.9,NA,"N ",NA,NA
"230",230,1992-04-09 07:00:00,24.1,31.86,27.33,15.1,86.5,4.88,NA,"N ",NA,NA
"231",231,1992-04-19 07:00:00,23.88,32.37,27.37,142.7,87.7,6.02,NA,"N ",NA,NA
"232",232,1992-04-29 07:00:00,24.16,30.98,26.93,158.5,88.9,4.96,NA,"N ",5,360
"233",233,1992-05-09 07:00:00,24.08,31.98,27.54,79.7,86.8,6.46,NA,"N ",5,340
"234",234,1992-05-19 07:00:00,24.04,32.49,27.57,109.666666666667,86.7,5.88,NA,"N ",3,50
"235",235,1992-05-29 07:00:00,23.98,31.59,27.01,72.3,88.9,5.61,NA,"N ",NA,NA
"236",236,1992-06-08 07:00:00,23.87,31.32,26.7,114,89.1,4.71,NA,"N ",NA,NA
"237",237,1992-06-18 07:00:00,23.02,31.94,27.12,0,80.9,6.71,1.75,"N ",NA,NA
"238",238,1992-06-28 07:00:00,23.4,33.1,27.25,75.5,84.7,6.77,1.7,"N ",NA,NA
"239",239,1992-07-08 07:00:00,23.18,31.63,26.57,61.1,84.1,5.73,2.11111111111111,"N ",NA,NA
"240",240,1992-07-18 07:00:00,23.08,31.64,26.64,14.6666666666667,83.9,6.09,2.2,"E ",NA,NA
"241",241,1992-07-28 07:00:00,23.02,31.22,26.45,59.2,86.4,5.74,1.875,"N ",NA,NA
"242",242,1992-08-07 07:00:00,22.27,31.29,26.28,0,82.3,6.55,2.4,"N ",NA,NA
"243",243,1992-08-17 07:00:00,22.74,31.9,26.86,5.7,84.6,6.78,2.4,"S ",NA,NA
"244",244,1992-08-27 07:00:00,23.66,31.49,27.22,81.8,84.1,6.21,1,"N ",NA,NA
"245",245,1992-09-06 07:00:00,22.92,31.4,26.37,33.6,87.2,5.07,1.57142857142857,"N ",NA,NA
"246",246,1992-09-16 07:00:00,22.9,31.27,26.38,105.6,87.4,5.32,1.875,"N ",NA,NA
"247",247,1992-09-26 07:00:00,23.28,30.65,26.49,125.8,86.6,5.21,1.5,"N ",NA,NA
"248",248,1992-10-06 07:00:00,23.46,31.1,26.63,152.8,88.4,5.53,1.25,"N ",NA,NA
"249",249,1992-10-16 07:00:00,23.44,31.75,27.55,92.2,83.5,6.86,1,"N ",NA,NA
"250",250,1992-10-26 07:00:00,23.06,30.6,26.4,169.5,86.8,5.4,NA,"N ",NA,NA
"251",251,1992-11-05 07:00:00,23.44,30.54,26.26,373.9,89.7,4.55,1.14285714285714,"N ",NA,NA
"252",252,1992-11-15 07:00:00,23.46,30.24,26.17,183.1,89.2,4.72,1.16666666666667,"N ",NA,NA
"253",253,1992-11-25 07:00:00,23.76,29.75,26.41,87.8,88.1,4.46,NA,"N ",NA,NA
"254",254,1992-12-05 07:00:00,23.36,30.12,26.21,196.1,88.6,4.3,NA,"N ",NA,NA
"255",255,1992-12-15 07:00:00,23.48,30.18,26.28,218.2,88.7,4.76,NA,"N ",NA,NA
"256",256,1992-12-25 07:00:00,23.16,30.66,26.49,68.8888888888889,87.9,4.52,NA,"N ",NA,NA
"257",257,1993-01-04 07:00:00,23.36,30.88,26.84,124.3,86.4,6.05,NA,"N ",4,340
"258",258,1993-01-14 07:00:00,23.96,29.56,26.28,352.9,88.5,3.1,NA,"N ",13,310
"259",259,1993-01-24 07:00:00,24.68,30.22,27.23,1.6,78.1,6.89,3.4,"NW",13,340
"260",260,1993-02-03 07:00:00,24.21,30.68,27.06,98.1,85.3,6.28,2.125,"N ",NA,NA
"261",261,1993-02-13 07:00:00,23.9,30.82,27.16,140.4,83.4,6.15,1.4,"N ",NA,NA
"262",262,1993-02-23 07:00:00,23.36,31.07,26.88,136.4,84.6,5.8,1.125,"N ",NA,NA
"263",263,1993-03-05 07:00:00,23.6,30.64,26.58,70.2,87,5.33,1,"N ",NA,NA
"264",264,1993-03-15 07:00:00,23.48,30.58,26.29,88.1,89.2,3.41,NA,"N ",NA,NA
"265",265,1993-03-25 07:00:00,23.62,30.04,26.21,253.1,88.7,3.44,NA,"N ",NA,NA
"266",266,1993-04-04 07:00:00,23.74,31.84,27.07,29.4,86.3,5.74,NA,"N ",NA,NA
"267",267,1993-04-14 07:00:00,23.44,31.37,26.95,89.3,87.9,4.56,NA,"N ",NA,NA
"268",268,1993-04-24 07:00:00,24.24,32.2,27.62,72.3,87.4,6.8,1.25,"N ",NA,NA
"269",269,1993-05-04 07:00:00,24.02,31.6,27.26,133.6,88.1,5.53,NA,"N ",NA,NA
"270",270,1993-05-14 07:00:00,24.1,31.52,26.9,196.2,88.7,5.17,1.16666666666667,"N ",NA,NA
"271",271,1993-05-24 07:00:00,24.47,31.58,27.14,120.8,89.2,4.15,NA,"N ",NA,NA
"272",272,1993-06-03 07:00:00,24.24,31.54,27.31,15.5,87.5,5.36,1.28571428571429,"N ",NA,NA
"273",273,1993-06-13 07:00:00,23.56,31.65,26.99,71.7,86,6.87,1.33333333333333,"N ",NA,NA
"274",274,1993-06-23 07:00:00,23.8,30.74,26.55,135.4,87.5,4.65,2,"N ",NA,NA
"275",275,1993-07-03 07:00:00,22.22,31.24,26.15,3.6,84.1,6.09,1.88888888888889,"E ",NA,NA
"276",276,1993-07-13 07:00:00,23.34,31.9,26.98,26.2,83.9,5.9,2.1,"E ",NA,NA
"277",277,1993-07-23 07:00:00,22.88,32.08,26.81,1.8,82.2,7.02,2.33333333333333,"E ",NA,NA
"278",278,1993-08-02 07:00:00,22.33,31.76,26.37,0,84.1,7.43,2.5,"E ",NA,NA
"279",279,1993-08-12 07:00:00,23.16,32.44,27.17,0,83.3,7.3,3.55555555555556,"E ",NA,NA
"280",280,1993-08-22 07:00:00,22.86,31.66,26.68,2.22222222222222,82.8,5.34,2.44444444444444,"E ",NA,NA
"281",281,1993-09-01 07:00:00,22.78,31.56,26.39,85.5,84.2,5.14,2.55555555555556,"N ",NA,NA
"282",282,1993-09-11 07:00:00,23.2,31.04,26.36,86.2,85.6,4.66,2.625,"SE",NA,NA
"283",283,1993-09-21 07:00:00,23.36,31.77,27,18.6,84.2,5.33,5.42857142857143,"SE",NA,NA
"284",284,1993-10-01 07:00:00,23.48,32.44,27.35,58.4444444444444,83.1,6.41,3.1,"E ",NA,NA
"285",285,1993-10-11 07:00:00,23.26,30.71,26.25,121,87.6,4.97,1.77777777777778,"N ",NA,NA
"286",286,1993-10-21 07:00:00,23.18,31.14,26.56,103.555555555556,86.8,4.81,1.5,"N ",NA,NA
"287",287,1993-10-31 07:00:00,23.98,30.58,26.5,139.3,90.6,3.97,NA,"N ",NA,NA
"288",288,1993-11-10 07:00:00,23.84,30.41,26.56,159.7,89.8,4.12,NA,"N ",NA,NA
"289",289,1993-11-20 07:00:00,24.24,31.54,27.18,108.3,87.2,6.37,1.28571428571429,"N ",NA,NA
"290",290,1993-11-30 07:00:00,24,31.06,26.74,137.1,88,4.99,NA,"N ",NA,NA
"291",291,1993-12-10 07:00:00,24.32,31.18,27.28,115.9,86.7,4.54,NA,"N ",NA,NA
"292",292,1993-12-20 07:00:00,24.34,30.04,26.78,117.3,85.5,4.45,1.83333333333333,"N ",NA,NA
"293",293,1993-12-30 07:00:00,24.14,31.05,27.05,55,84.9,5.07,1.33333333333333,"N ",NA,NA
"294",294,1994-01-09 07:00:00,23.92,30.58,26.83,124.1,85.1,5.04,1.57142857142857,"N ",NA,NA
"295",295,1994-01-19 07:00:00,24.02,29.98,26.74,155.8,86.8,5.32,2.71428571428571,"NW",NA,NA
"296",296,1994-01-29 07:00:00,23.62,30,26.06,137,91.4,3.8,NA,"N ",NA,NA
"297",297,1994-02-08 07:00:00,23.72,30.82,26.6,65.7,88.8,4.73,1.16666666666667,"N ",NA,NA
"298",298,1994-02-18 07:00:00,24.1,31.68,27.48,0,85.1,6.49,1.6,"N ",NA,NA
"299",299,1994-02-28 07:00:00,24.22,30.76,26.76,124.2,89.3,3.63,NA,"N ",NA,NA
"300",300,1994-03-10 07:00:00,23.9,30.44,26.66,45.2,88.2,3.62,NA,"N ",NA,NA
"301",301,1994-03-20 07:00:00,23.7,30.3,26.25,219.9,89.9,3.92,NA,"N ",NA,NA
"302",302,1994-03-30 07:00:00,23.94,31.48,27.1,23.9,85.8,6.06,NA,"N ",NA,NA
"303",303,1994-04-09 07:00:00,24.26,31.66,27.18,91.2222222222222,88,4.76,NA,"N ",NA,NA
"304",304,1994-04-19 07:00:00,23.84,31.74,27.12,139.7,87.4,5.67,1.77777777777778,"N ",NA,NA
"305",305,1994-04-29 07:00:00,24.28,31.66,27.03,193.333333333333,88.6,5.29,1.625,"N ",NA,NA
"306",306,1994-05-09 07:00:00,23.82,32,27.28,60.1,86.5,6.11,2.22222222222222,"N ",NA,NA
"307",307,1994-05-19 07:00:00,24.02,31.82,27.17,77.6,89.4,6.16,2.375,"N ",NA,NA
"308",308,1994-05-29 07:00:00,23.88,31.62,26.86,29.4444444444444,88.2,5.99,1.7,"N ",NA,NA
"309",309,1994-06-08 07:00:00,23.64,31.14,26.6,57.9,87.6,4.53,2.11111111111111,"E ",NA,NA
"310",310,1994-06-18 07:00:00,23.26,31.44,26.6,73.6,86.2,5.56,2.3,"N ",NA,NA
"311",311,1994-06-28 07:00:00,23.56,30.94,26.56,47.8,85.3,5.59,2.2,"E ",NA,NA
"312",312,1994-07-08 07:00:00,22.74,31.4,26.58,0,84.5,7.45,2.8,"E ",NA,NA
"313",313,1994-07-18 07:00:00,21.76,31.36,25.88,0,85.6,7.82,3.4,"E ",NA,NA
"314",314,1994-07-28 07:00:00,22.98,31.64,26.38,0,85.4,7.56,2.9,"E ",NA,NA
"315",315,1994-08-07 07:00:00,22.72,31.48,26.52,10.1,84.5,6.7625,3.2,"E ",NA,NA
"316",316,1994-08-17 07:00:00,22.12,31.84,26.39,0,82.6,NA,3.9,"S ",NA,NA
"317",317,1994-08-27 07:00:00,21.56,31.55,25.92,0,83.5,7.71,4.1,"S ",NA,NA
"318",318,1994-09-06 07:00:00,22.5,31.89,26.39,0,81.7,6.54,3.66666666666667,"S ",NA,NA
"319",319,1994-09-16 07:00:00,22.2,32.06,26.31,0,82.8,5.27,3.6,"S ",NA,NA
"320",320,1994-09-26 07:00:00,22.6,31.36,26.26,1.2,85.1,1.48,2.7,"S ",NA,NA
"321",321,1994-10-06 07:00:00,23.12,31.18,26.25,46,86.2,4.16,2,"N ",NA,NA
"322",322,1994-10-16 07:00:00,22.58,31.1,26.09,13.4,84.7,5.16,2.44444444444444,"N ",NA,NA
"323",323,1994-10-26 07:00:00,22.6,31.11,26.15,253.8,86.7,3.61,2.125,"N ",NA,NA
"324",324,1994-11-05 07:00:00,23.02,30.78,26.04,261,90.3,4.44,2,"N ",NA,NA
"325",325,1994-11-15 07:00:00,24.04,31.19,26.94,NA,87.3,5.66,NA,"N ",NA,NA
"326",326,1994-11-25 07:00:00,24.02,29.52,26.08,282,92,3.66,1.83333333333333,"N ",NA,NA
"327",327,1994-12-05 07:00:00,24.1,29.98,26.24,78.7,90.4,3.71,1.83333333333333,"N ",NA,NA
"328",328,1994-12-15 07:00:00,24.3,29.37,26.51,422.222222222222,90.6,2.8,2,"N ",NA,NA
"329",329,1994-12-25 07:00:00,24.46,30.69,27.09,253.1,89.8,5.16,1.5,"N ",NA,NA
"330",330,1995-01-04 07:00:00,23.76,30.12,26.39,195.8,90.2,3.78,2.85714285714286,"N ",NA,NA
"331",331,1995-01-14 07:00:00,23.96,29.84,26.44,245.3,89.1,3.55,2.14285714285714,"N ",NA,NA
"332",332,1995-01-24 07:00:00,24.04,31.14,26.78,92.1,87.8,5.52,2,"N ",NA,NA
"333",333,1995-02-03 07:00:00,23.42,29.85,26.1,145.3,90.1,3.69,2.16666666666667,"N ",NA,NA
"334",334,1995-02-13 07:00:00,24.3,30.36,26.68,41.8,87.5,2.38,NA,"N ",NA,NA
"335",335,1995-02-23 07:00:00,23.78,30.2,26.41,170.5,87.9,4.5,2,"NW",NA,NA
"336",336,1995-03-05 07:00:00,24.54,31.32,27.44,14.8,84.7,6.55,1.88888888888889,"N ",NA,NA
"337",337,1995-03-15 07:00:00,24.12,31.22,26.98,16.9,86.9,4.81,1.75,"N ",NA,NA
"338",338,1995-03-25 07:00:00,24.48,31.1,27.24,97.6,87.3,5.12,2.16666666666667,"N ",NA,NA
"339",339,1995-04-04 07:00:00,24.36,31.04,27.06,91.625,88.6,4.5,NA,"N ",NA,NA
"340",340,1995-04-14 07:00:00,24.34,31.68,27.5,126,88,5.49,1.57142857142857,"N ",NA,NA
"341",341,1995-04-24 07:00:00,24.44,31.6,27.35,338.666666666667,88.7,4.81,NA,"N ",NA,NA
"342",342,1995-05-04 07:00:00,24.66,30.98,27.03,227.2,90.6,3.15,2.5,"N ",NA,NA
"343",343,1995-05-14 07:00:00,24.5,32.38,27.83,79.2,86.6,5.56,1.75,"N ",NA,NA
"344",344,1995-05-24 07:00:00,25.58,32.59,27.9,19.6,85.9,6.8,1.9,"N ",NA,NA
"345",345,1995-06-03 07:00:00,24.36,32.34,27.53,39.8888888888889,87.9,5.62,2.22222222222222,"N ",NA,NA
"346",346,1995-06-13 07:00:00,24.2,31.74,27.3,41.8,88.2,4.9,1.83333333333333,"N ",NA,NA
"347",347,1995-06-23 07:00:00,24.22,32.14,27.51,261.5,87.3,5.65,2,"N ",NA,NA
"348",348,1995-07-03 07:00:00,23.6,30.72,26.37,162.5,90.3,4.99,NA,"N ",NA,NA
"349",349,1995-07-13 07:00:00,23.52,31.32,26.56,83.8,86.7,4.62,2.33333333333333,"E ",NA,NA
"350",350,1995-07-23 07:00:00,23.28,31.1,26.34,109.9,86.7,5.87,3.1,"E ",NA,NA
"351",351,1995-08-02 07:00:00,23.74,30.39,26.21,75,90.1,3.35,2.5,"N ",NA,NA
"352",352,1995-08-12 07:00:00,24.02,31.42,26.91,15.2,87,4.3,3.1,"E ",NA,NA
"353",353,1995-08-22 07:00:00,23.98,31.3,27.15,60.8,85.7,5.01,3.1,"E ",NA,NA
"354",354,1995-09-01 07:00:00,23.86,31.62,26.82,86.4444444444444,88.6,3.68,2.1,"N ",NA,NA
"355",355,1995-09-11 07:00:00,23.01,30.63,26.33,28.8,87.5,5.56,2.8,"SE",NA,NA
"356",356,1995-09-21 07:00:00,23.76,31.73,27.1,11.1,85.4,5.22,2.28571428571429,"N ",NA,NA
"357",357,1995-10-01 07:00:00,23.58,31.36,26.38,35.9,88.2,4.74,2,"N ",NA,NA
"358",358,1995-10-11 07:00:00,23.54,31.08,26.44,181.5,87.6,5.07,2.5,"N ",NA,NA
"359",359,1995-10-21 07:00:00,24.02,30.9,27.03,22.6666666666667,86.9,5.13,1.5,"N ",NA,NA
"360",360,1995-10-31 07:00:00,24.2,31.26,27.19,135,86.8,5,1.66666666666667,"N ",NA,NA
"361",361,1995-11-10 07:00:00,24.14,29.88,26.56,201.888888888889,88.8,4.61111111111111,1.71428571428571,"N ",NA,NA
"362",362,1995-11-20 07:00:00,24.18,30.46,26.79,NA,85.6,4.32,2.42857142857143,"N ",NA,NA
"363",363,1995-11-30 07:00:00,23.86,28.96,26.07,312.1,90.6,1.8,3.28571428571429,"N ",NA,NA
"364",364,1995-12-10 07:00:00,24.98,30.56,27.34,14.5555555555556,84.2,5.22,2.5,"N ",NA,NA
"365",365,1995-12-20 07:00:00,24.28,29.97,26.35,151.1,90.2,4.82,2,"N ",NA,NA
"366",366,1995-12-30 07:00:00,25.02,29.33,26.85,118.3,86.9,5.2,2.55555555555556,"N ",NA,NA
"367",367,1996-01-09 07:00:00,23.68,29.89,26.21,138.7,90.3,4.75,1.66666666666667,"N ",NA,NA
"368",368,1996-01-19 07:00:00,24.66,29.82,27.02,8.55555555555556,86,5.62,2.22222222222222,"N ",NA,NA
"369",369,1996-01-29 07:00:00,23.86,28.88,25.97,133.111111111111,90.3,3.16,2,"N ",NA,NA
"370",370,1996-02-08 07:00:00,24.68,30.18,27,51,87.7,5.64,2,"N ",NA,NA
"371",371,1996-02-18 07:00:00,24.06,30.16,26.46,84.2,86.6,5.59,2.5,"N ",NA,NA
"372",372,1996-02-28 07:00:00,25.12,30.39,27.43,0,83.5,7.64,2.9,"NW",NA,NA
"373",373,1996-03-09 07:00:00,24.52,30.46,26.79,42.2,88.6,4.28,1.85714285714286,"N ",NA,NA
"374",374,1996-03-19 07:00:00,23.74,30.26,26.26,179.4,90.4,3.41,NA,"N ",NA,NA
"375",375,1996-03-29 07:00:00,24.36,31.08,27.29,70.3,87.1,4.63,1.42857142857143,"N ",NA,NA
"376",376,1996-04-08 07:00:00,24.3,31.1,27.19,59.1,87,5.32,NA,"N ",NA,NA
"377",377,1996-04-18 07:00:00,23.86,31.98,27.3,93.9,86.4,6.52,NA,"N ",NA,NA
"378",378,1996-04-28 07:00:00,24.78,32.64,27.82,10.5555555555556,84.2,6.32,2,"N ",NA,NA
"379",379,1996-05-08 07:00:00,23.48,32.26,27.4,0,82.1,7.97,1.8,"N ",NA,NA
"380",380,1996-05-18 07:00:00,24.24,33.16,27.82,13.1,84.9,6.35,2.2,"N ",NA,NA
"381",381,1996-05-28 07:00:00,24.02,31.44,26.58,40.9,88.6,4.96,2,"N ",NA,NA
"382",382,1996-06-07 07:00:00,23.82,31.4,26.88,112.6,88.1,4.11,2.14285714285714,"N ",NA,NA
"383",383,1996-06-17 07:00:00,23.64,31.66,26.9,59.5,87.2,5.7,1.55555555555556,"N ",NA,NA
"384",384,1996-06-27 07:00:00,23.92,31.26,26.67,134.8,88,5.57,1.875,"N ",NA,NA
"385",385,1996-07-07 07:00:00,23.12,30.47,26.26,111.333333333333,87.9,4.48,1.9,"N ",NA,NA
"386",386,1996-07-17 07:00:00,23.56,31.72,26.99,9.2,82.5,7.35,2.8,"S ",NA,NA
"387",387,1996-07-27 07:00:00,23.44,31.66,26.96,2.8,84,7.11,2.55555555555556,"S ",NA,NA
"388",388,1996-08-06 07:00:00,22.76,31.36,26.27,18.6666666666667,85.9,5.86,2.6,"N ",NA,NA
"389",389,1996-08-16 07:00:00,23.02,30.64,26.07,153.9,87.3,4.27,2.42857142857143,"N ",NA,NA
"390",390,1996-08-26 07:00:00,23.06,30.2,25.82,166.5,88.4,3.99,NA,"N ",NA,NA
"391",391,1996-09-05 07:00:00,23.52,31.54,26.75,62.6,87.1,5.96,2.22222222222222,"N ",NA,NA
"392",392,1996-09-15 07:00:00,23.81,31.36,27.14,51,86.2,5.18,2.33333333333333,"N ",NA,NA
"393",393,1996-09-25 07:00:00,23.62,31.58,26.84,35.6,85.7,5.44,1.57142857142857,"N ",NA,NA
"394",394,1996-10-05 07:00:00,23.83,31.03,26.8,94.8,86.5,5.03,2.14285714285714,"N ",NA,NA
"395",395,1996-10-15 07:00:00,24.08,30.73,26.42,210.8,89.2,4.42,NA,"N ",NA,NA
"396",396,1996-10-25 07:00:00,23.92,30.05,26.19,145,90.3,3.66,2.16666666666667,"N ",NA,NA
"397",397,1996-11-04 07:00:00,23.78,30.42,26.47,94.5,90.5,4.85,1.71428571428571,"N ",NA,NA
"398",398,1996-11-14 07:00:00,23.96,30.78,26.67,180,90.1,5.4,1.75,"N ",NA,NA
"399",399,1996-11-24 07:00:00,24.04,30.28,26.61,146,91,3.85,NA,"N ",NA,NA
"400",400,1996-12-04 07:00:00,23.76,30.49,26.4,78.2,91.2,4.5,1.85714285714286,"N ",NA,NA
"401",401,1996-12-14 07:00:00,24.35,29.96,26.73,172.1,90,2.45,2.375,"N ",NA,NA
"402",402,1996-12-24 07:00:00,25.18,30.44,27.45,14.4,83.2,5.45,3.1,"N ",NA,NA
"403",403,1997-01-03 07:00:00,24.68,30.5,27.31,108.4,83.2,5.8,2.1,"N ",NA,NA
"404",404,1997-01-13 07:00:00,24.28,30.18,26.95,67.7,84.1,5.02,2.5,"N ",NA,NA
"405",405,1997-01-23 07:00:00,25.36,30.78,27.76,2.9,80.4444444444444,5.64,2.44444444444444,"NW",NA,NA
"406",406,1997-02-02 07:00:00,23.77,29.82,26.79,37.3,85.1,5.17,1.88888888888889,"N ",NA,NA
"407",407,1997-02-12 07:00:00,24.54,30.56,27.17,85.6,84.1,5.18,2.77777777777778,"N ",NA,NA
"408",408,1997-02-22 07:00:00,25.32,30.46,27.57,7.1,84.2,6.02,2.6,"NW",NA,NA
"409",409,1997-03-04 07:00:00,23.74,30.83,27.38,1.7,84.3,6.55,2,"N ",NA,NA
"410",410,1997-03-14 07:00:00,24.2,31.68,27.24,48.2,86.2,6.28,1.71428571428571,"N ",NA,NA
"411",411,1997-03-24 07:00:00,23.92,31.47,27.11,133.2,89.6,4.45,1.83333333333333,"N ",NA,NA
"412",412,1997-04-03 07:00:00,23.58,31.1,26.93,74.2,86.8,5.88,NA,"N ",NA,NA
"413",413,1997-04-13 07:00:00,23.54,31.26,26.85,181.7,87,5.53,NA,"N ",NA,NA
"414",414,1997-04-23 07:00:00,24.04,31.07,26.67,124,93.1,3.65,2.16666666666667,"N ",NA,NA
"415",415,1997-05-03 07:00:00,24.18,31.5,27.1,83.8,90.1,5.2,2.14285714285714,"N ",NA,NA
"416",416,1997-05-13 07:00:00,24.2,31.1,27.14,119,89.9,4.72,1.57142857142857,"N ",NA,NA
"417",417,1997-05-23 07:00:00,24.14,32.56,27.83,0,85.6,7.54,2.4,"N ",NA,NA
"418",418,1997-06-02 07:00:00,24.06,31.86,27.51,45.9,86.2,5.71,1.77777777777778,"N ",NA,NA
"419",419,1997-06-12 07:00:00,23.67,32.27,27.37,0,86,7.41,2,"N ",NA,NA
"420",420,1997-06-22 07:00:00,23.44,31.96,27.03,1.77777777777778,86.6,6.97,2.8,"E ",NA,NA
"421",421,1997-07-02 07:00:00,22.54,30.6,26.04,111.1,87.7,6.13,2.55555555555556,"N ",NA,NA
"422",422,1997-07-12 07:00:00,23.01,31.56,26.64,14.2,85.2,6.52,2.6,"N ",NA,NA
"423",423,1997-07-22 07:00:00,22.48,31.3,26.35,0,85.8,7.71,2.6,"N ",NA,NA
"424",424,1997-08-01 07:00:00,22.83,32.19,26.84,0,84.1,7.75,2.8,"E ",NA,NA
"425",425,1997-08-11 07:00:00,21.8,31.7,26.16,0,85.3,7.86,3.4,"S ",NA,NA
"426",426,1997-08-21 07:00:00,22.46,31.74,26.54,0,85.1,6.41,3.3,"S ",NA,NA
"427",427,1997-08-31 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"428",428,1997-09-10 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"429",429,1997-09-20 07:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"430",430,1997-09-30 07:00:00,23.2666666666667,30.5333333333333,26.2222222222222,52.1111111111111,85.3333333333333,0.677777777777778,2.66666666666667,"N ",NA,NA
"431",431,1997-10-10 07:00:00,22.98,30.52,26.26,0,85.8,0,1.9,"N ",NA,NA
"432",432,1997-10-20 07:00:00,23.5,31.06,26.64,9.7,86,0.45,1.875,"N ",NA,NA
"433",433,1997-10-30 07:00:00,23.34,31.2,26.78,77.25,86.6,2.29,1.77777777777778,"N ",NA,NA
"434",434,1997-11-09 07:00:00,23.76,30.92,26.71,41,87.6,2.46,1.88888888888889,"N ",NA,NA
"435",435,1997-11-19 07:00:00,23.48,30.62,26.66,82.1,86,3.48,1.33333333333333,"N ",NA,NA
"436",436,1997-11-29 07:00:00,23.76,31.14,26.83,147.7,88.8,3.95,NA,"N ",NA,NA
"437",437,1997-12-09 07:00:00,23.84,31.1,27.16,191.4,87.4,4.8,1.22222222222222,"N ",NA,NA
"438",438,1997-12-19 07:00:00,23.82,30.68,26.83,291.6,88.7,4.67,2,"N ",NA,NA
"439",439,1997-12-29 07:00:00,24.1,31.22,27.09,114.375,87.4,5.2,1.71428571428571,"N ",NA,NA
"440",440,1998-01-08 07:00:00,24.8,31.22,27.36,154.8,90.3,4.46,1.83333333333333,"N ",NA,NA
"441",441,1998-01-18 07:00:00,24.36,31.74,27.53,185.2,86.8,5.16,2,"N ",NA,NA
"442",442,1998-01-28 07:00:00,24.8,30.84,27.48,218.555555555556,89.1,4.48,1.44444444444444,"N ",NA,NA
"443",443,1998-02-07 07:00:00,24.64,31.32,27.54,238,89.3,4.5,1.77777777777778,"N ",NA,NA
"444",444,1998-02-17 07:00:00,24.72,31.76,27.86,130.2,85.8,4.84,2.11111111111111,"N ",NA,NA
"445",445,1998-02-27 07:00:00,24.16,30.98,27.34,268.1,88.4,3.44,NA,"N ",NA,NA
"446",446,1998-03-09 07:00:00,24.58,32.14,27.99,218.5,86.4,5.49,1.75,"N ",NA,NA
"447",447,1998-03-19 07:00:00,24.87,31.52,27.68,88.2222222222222,88.8,3.55,NA,"N ",NA,NA
"448",448,1998-03-29 07:00:00,24.78,31.1,27.62,212.5,89.1,3.27,1.5,"N ",NA,NA
"449",449,1998-04-08 07:00:00,25.2,31.78,27.75,143.111111111111,88.7,4.18,1.85714285714286,"N ",NA,NA
"450",450,1998-04-18 07:00:00,25.06,32.3,28.15,86.1,86.6,5.28,1.625,"N ",NA,NA
